Axiom,Reason,Depth,Width,Groups of Diagnosis,Size
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RHRTF> <http://www.bootstrep.eu/ontology/GRO#Protein>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RHRTF> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#CellularDevelopmentalProcess> <http://www.bootstrep.eu/ontology/GRO#CellularProcess>),S,-1,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#CellularDevelopmentalProcess> <http://www.bootstrep.eu/ontology/GRO#Occurrent>),S,-1,-1,-1,20
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ChronologicalCellAging> <http://www.bootstrep.eu/ontology/GRO#Process>),S,-1,-1,-1,20
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ChronologicalCellAging> <http://www.bootstrep.eu/ontology/GRO#Occurrent>),S,-1,-1,-1,24
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DNABindingSite> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DNABindingSite> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ProteinCodingGene> <http://www.bootstrep.eu/ontology/GRO#ProteinCodingRegion>),S,-1,-1,-1,20
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ProteinCodingGene> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ProteinCodingGene> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ProteinCodingGene> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#PosttranslationalModification> <http://www.bootstrep.eu/ontology/GRO#Occurrent>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#IntronOnDNA> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#IntronOnDNA> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TransActing_SIRNA> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TransActing_SIRNA> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TransActing_SIRNA> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#TransActing_SIRNA> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#ChromatinSilencing> <http://www.bootstrep.eu/ontology/GRO#Occurrent>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymeraseIIHoloenzyme> <http://www.bootstrep.eu/ontology/GRO#Enzyme>),S,-1,-1,-1,20
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymeraseIIHoloenzyme> <http://www.bootstrep.eu/ontology/GRO#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Enhancer> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Enhancer> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Enhancer> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#Enhancer> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymerase_I_Promoter> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymerase_I_Promoter> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymerase_I_Promoter> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",9,-1,-1,38
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymerase_I_Promoter> <http://www.bootstrep.eu/ontology/GRO#NucleicAcid>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAPolymerase_I_Promoter> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#RNAInterference> <http://www.bootstrep.eu/ontology/GRO#Occurrent>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#SpliceEnhancer> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#SpliceEnhancer> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#SpliceEnhancer> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BetaBarrelAlphaHelixDomain> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BetaBarrelAlphaHelixDomain> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BetaBarrelAlphaHelixDomain> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",9,-1,-1,38
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BetaBarrelAlphaHelixDomain> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BetaBarrelAlphaHelixDomain> <http://www.bootstrep.eu/ontology/GRO#ProteinDomain>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DownstreamRegulatorySequence> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DownstreamRegulatorySequence> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#DownstreamRegulatorySequence> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#LocusControlRegion> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#LocusControlRegion> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#LocusControlRegion> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BacterialRNAPolymerasePromoter> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BacterialRNAPolymerasePromoter> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BacterialRNAPolymerasePromoter> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#BacterialRNAPolymerasePromoter> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#GeneRegion> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#GeneRegion> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#bHSH> <http://www.bootstrep.eu/ontology/GRO#PhysicalContinuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#bHSH> <http://www.bootstrep.eu/ontology/GRO#InformationBiopolymer>),S,-1,-1,-1,22
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#bHSH> <http://www.bootstrep.eu/ontology/GRO#Continuant>),"D,S",8,-1,-1,34
SubClassOf(<http://www.bootstrep.eu/ontology/GRO#bHSH> <http://www.bootstrep.eu/ontology/GRO#MolecularEntity>),"D,S",6,-1,-1,26
