Axiom,Reason,Depth,Width,Groups of Diagnosis,Size
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#ApocrineGland> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MerocrineGland>),"D,S",8,-1,-1,57
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#ApocrineGland> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#PhysicalObject>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#ApocrineGland> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,7,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_V_Collagen> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",8,-1,-1,34
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_V_Collagen> <http://www.ifomis.org/snap#IndependentContinuant>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_V_Collagen> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#PhysicalObject>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Type_V_Collagen> <http://www.ifomis.org/snap#Continuant>),"D,S",7,-1,-1,30
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Endothelium> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#Collective>),"D,S",6,-1,-1,40
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Endothelium> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",7,-1,-1,28
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Endothelium> <http://www.ifomis.org/snap#IndependentContinuant>),S,-1,-1,-1,20
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Endothelium> <http://www.ifomis.org/snap#Continuant>),"D,S",6,-1,-1,24
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Hemidesmosome> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,5,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Hemidesmosome> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,4,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#SweatSecretionFunction> <http://www.ifomis.org/bfo/1.1#Entity>),"D,S",6,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#SweatSecretionFunction> <http://www.ifomis.org/snap#Continuant>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Eumelanin> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#FreeNerveEnding> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,6,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#FreeNerveEnding> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Noiceptor>),"D,S",6,-1,-1,35
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#FreeNerveEnding> <http://www.ifomis.org/snap#IndependentContinuant>),G,-1,-1,4,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#FreeNerveEnding> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Thermoreceptor>),"D,S",6,-1,-1,36
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#FreeNerveEnding> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#SensoryReceptor>),S,-1,-1,-1,26
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#FreeNerveEnding> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,5,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#NerveEnding> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#EccrineGland> <http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#Gland>),"D,S",6,-1,-1,41
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#EccrineGland> <http://www.ifomis.org/bfo/1.1#Entity>),G,-1,-1,7,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#EccrineGland> <http://www.ifomis.org/snap#IndependentContinuant>),G,-1,-1,5,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#EccrineGland> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#MerocrineGland>),"D,S",8,-1,-1,57
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#EccrineGland> <http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#PhysicalObject>),S,-1,-1,-1,22
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/MultiscaleSkinPhysiologyOntology.owl#EccrineGland> <http://www.ifomis.org/snap#Continuant>),G,-1,-1,6,-1
SubClassOf(<http://www.semanticweb.org/ontologies/2008/8/SPO_lightweight_merged.owl#VesicleFusionFunction> <http://www.ifomis.org/bfo/1.1#Entity>),S,-1,-1,-1,22
